dataset_name,OS_CNN,MACNN,InceptionTime,RESNET,ROCKET
BTC,0.5073261555897350,0.5102850664075150,0.5107709750566890,0.5063178357362700,0.6753320375769350
ETH,0.4938839326772740,0.4874908020603380,0.5507726269315670,0.4948491537895510,0.4921364848707800
XRP,0.7085593975220660,0.6875404530744330,0.6815384615384610,0.5225414811817070,0.6863919695620490
LTC,0.7135504481320430,0.7240461401952080,0.7069837607596060,0.6419632555249840,0.6983676366217170
BNB,0.5186887254901960,0.5130328120208520,0.6668199938669120,0.5099632127529120,0.6792394970867830
ADA,0.5036575875486380,0.5105787181082760,0.6000000000000000,0.5035792094615620,0.6916135055235720
DOT,0.7437699680511180,0.5691472373043750,0.7077610986905140,0.6065154902587030,0.6980830670926510
LINK,0.6970099667774080,0.6577955200709690,0.6459902525476290,0.6105566644488800,0.6746506986027940
