classifier_name,dataset_name,accuracy
OS_CNN,0,0.507326155589735
OS_CNN,1,0.493883932677274
OS_CNN,2,0.708559397522066
OS_CNN,3,0.713550448132043
OS_CNN,4,0.518688725490196
OS_CNN,5,0.503657587548638
OS_CNN,6,0.743769968051118
OS_CNN,7,0.697009966777408
MACNN,0,0.510285066407515
MACNN,1,0.487490802060338
MACNN,2,0.687540453074433
MACNN,3,0.724046140195208
MACNN,4,0.513032812020852
MACNN,5,0.510578718108276
MACNN,6,0.569147237304375
MACNN,7,0.657795520070969
InceptionTime,0,0.510770975056689
InceptionTime,1,0.550772626931567
InceptionTime,2,0.681538461538461
InceptionTime,3,0.706983760759606
InceptionTime,4,0.666819993866912
InceptionTime,5,0.6
InceptionTime,6,0.707761098690514
InceptionTime,7,0.645990252547629
RESNET,0,0.50631783573627
RESNET,1,0.494849153789551
RESNET,2,0.522541481181707
RESNET,3,0.641963255524984
RESNET,4,0.509963212752912
RESNET,5,0.503579209461562
RESNET,6,0.606515490258703
RESNET,7,0.61055666444888
ROCKET,0,0.675332037576935
ROCKET,1,0.49213648487078
ROCKET,2,0.686391969562049
ROCKET,3,0.698367636621717
ROCKET,4,0.679239497086783
ROCKET,5,0.691613505523572
ROCKET,6,0.698083067092651
ROCKET,7,0.674650698602794
