dataset_name,OS_CNN,MACNN,InceptionTime,RESNET,ROCKET
BTC,0.5994166261545940,0.5632638888888880,0.6533787068546420,0.4807278283214110,0.6303472222222220
ETH,0.5420191319471890,0.5602371541501970,0.7202940943948130,0.7148391177168150,0.6886710411890260
XRP,0.6394194041252860,0.6681250000000000,0.6860893117577610,0.5629557608167230,0.6780555555555550
LTC,0.6605658506825280,0.7276841171251100,0.7084188911704310,0.6336580910336420,0.6934378806333740
BNB,0.5317804974338720,0.5175681010659290,0.7157520726411360,0.5681010659297270,0.6454796683774180
ADA,0.6847811537946720,0.5108068197073430,0.6002410606669340,0.6178010471204180,0.6275612695861790
DOT,0.7217319360176500,0.6693348054098810,0.7402812241521910,0.6409053270770080,0.7208470847084700
LINK,0.7395694417984370,0.6538388264431320,0.6587921508858830,0.6511716517431890,0.7029910459135070
