classifier_name,dataset_name,accuracy
OS_CNN,0,0.599416626154594
OS_CNN,1,0.542019131947189
OS_CNN,2,0.639419404125286
OS_CNN,3,0.660565850682528
OS_CNN,4,0.531780497433872
OS_CNN,5,0.684781153794672
OS_CNN,6,0.72173193601765
OS_CNN,7,0.739569441798437
MACNN,0,0.563263888888888
MACNN,1,0.560237154150197
MACNN,2,0.668125
MACNN,3,0.72768411712511
MACNN,4,0.517568101065929
MACNN,5,0.510806819707343
MACNN,6,0.669334805409881
MACNN,7,0.653838826443132
InceptionTime,0,0.653378706854642
InceptionTime,1,0.720294094394813
InceptionTime,2,0.686089311757761
InceptionTime,3,0.708418891170431
InceptionTime,4,0.715752072641136
InceptionTime,5,0.600241060666934
InceptionTime,6,0.740281224152191
InceptionTime,7,0.658792150885883
RESNET,0,0.480727828321411
RESNET,1,0.714839117716815
RESNET,2,0.562955760816723
RESNET,3,0.633658091033642
RESNET,4,0.568101065929727
RESNET,5,0.617801047120418
RESNET,6,0.640905327077008
RESNET,7,0.651171651743189
ROCKET,0,0.630347222222222
ROCKET,1,0.688671041189026
ROCKET,2,0.678055555555555
ROCKET,3,0.693437880633374
ROCKET,4,0.645479668377418
ROCKET,5,0.627561269586179
ROCKET,6,0.72084708470847
ROCKET,7,0.702991045913507
