dataset_name,OS_CNN,MACNN,InceptionTime,RESNET,ROCKET
BTC,0.5730601004373880,0.7137883572180390,0.6745768202802300,0.5074892721237140,0.6839164237123420
ETH,0.6016005887222880,0.4940213392200140,0.6936448082405950,0.6416950087324200,0.6962758620689650
XRP,0.7064064145136470,0.4999595043330360,0.6366728760022670,0.6386976593504490,0.6959267956919580
LTC,0.6249556265530700,0.5106739859713320,0.7056319290465630,0.6295145975685500,0.7043963836199250
BNB,0.6442808954308490,0.5143338954468800,0.7190614936359450,0.6281245207790210,0.6824106732096300
ADA,0.6471137389139560,0.4926070038910500,0.7363424124513610,0.5181322957198440,0.6935885465297230
DOT,0.7193991690635980,0.7281150159744410,0.6577181208053690,0.6049856184084370,0.7069351230425050
LINK,0.6705099778270500,0.6380572188955420,0.6593479707252160,0.6411621202040360,0.6932120674356690
