classifier_name,dataset_name,accuracy
OS_CNN,0,0.573060100437388
OS_CNN,1,0.601600588722288
OS_CNN,2,0.706406414513647
OS_CNN,3,0.62495562655307
OS_CNN,4,0.644280895430849
OS_CNN,5,0.647113738913956
OS_CNN,6,0.719399169063598
OS_CNN,7,0.67050997782705
MACNN,0,0.713788357218039
MACNN,1,0.494021339220014
MACNN,2,0.499959504333036
MACNN,3,0.510673985971332
MACNN,4,0.51433389544688
MACNN,5,0.49260700389105
MACNN,6,0.728115015974441
MACNN,7,0.638057218895542
InceptionTime,0,0.67457682028023
InceptionTime,1,0.693644808240595
InceptionTime,2,0.636672876002267
InceptionTime,3,0.705631929046563
InceptionTime,4,0.719061493635945
InceptionTime,5,0.736342412451361
InceptionTime,6,0.657718120805369
InceptionTime,7,0.659347970725216
RESNET,0,0.507489272123714
RESNET,1,0.64169500873242
RESNET,2,0.638697659350449
RESNET,3,0.62951459756855
RESNET,4,0.628124520779021
RESNET,5,0.518132295719844
RESNET,6,0.604985618408437
RESNET,7,0.641162120204036
ROCKET,0,0.683916423712342
ROCKET,1,0.696275862068965
ROCKET,2,0.695926795691958
ROCKET,3,0.704396383619925
ROCKET,4,0.68241067320963
ROCKET,5,0.693588546529723
ROCKET,6,0.706935123042505
ROCKET,7,0.693212067435669
